Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmAndBiasTunableOp_float_TN,tn_120_594_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0227071
GemmAndBiasTunableOp_float_TN,tn_360_594_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0312166
GemmAndBiasTunableOp_float_TN,tn_1024_270_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.131279
GemmAndBiasTunableOp_float_TN,tn_120_516_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0207642
GemmAndBiasTunableOp_float_TN,tn_256_1_256_ld_256_256_256,Gemm_Hipblaslt_6378,0.0127223
GemmAndBiasTunableOp_float_TN,tn_240_318_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.014684
GemmAndBiasTunableOp_float_TN,tn_1024_211_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.114871
GemmAndBiasTunableOp_float_TN,tn_120_392_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0169314
GemmAndBiasTunableOp_float_TN,tn_120_240_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0109013
GemmAndBiasTunableOp_float_TN,tn_120_576_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0219893
GemmAndBiasTunableOp_float_TN,tn_360_702_120_ld_120_120_360,Gemm_Hipblaslt_6379,0.0433163
GemmAndBiasTunableOp_float_TN,tn_1024_1_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0219982
GemmAndBiasTunableOp_float_TN,tn_120_492_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.01983
GemmAndBiasTunableOp_float_TN,tn_240_576_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0203162
GemmAndBiasTunableOp_float_TN,tn_1024_70_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0421028
GemmAndBiasTunableOp_float_TN,tn_1024_124_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0635804
GemmAndBiasTunableOp_float_TN,tn_1024_242_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.142363
GemmAndBiasTunableOp_float_TN,tn_4_300_256_ld_256_256_4,Gemm_Hipblaslt_6378,0.0126434
GemmAndBiasTunableOp_float_TN,tn_1024_287_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.145311
GemmAndBiasTunableOp_float_TN,tn_120_450_120_ld_120_120_120,Gemm_Hipblaslt_6376,0.0201254
GemmAndBiasTunableOp_float_TN,tn_1024_18_512_ld_512_512_1024,Gemm_Hipblaslt_6376,0.0267391
GemmAndBiasTunableOp_float_TN,tn_120_408_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0179951
GemmAndBiasTunableOp_float_TN,tn_1024_278_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.143894
GemmAndBiasTunableOp_float_TN,tn_120_786_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0166329
GemmAndBiasTunableOp_float_TN,tn_120_306_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0153993
GemmAndBiasTunableOp_float_TN,tn_1024_55_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0367439
GemmAndBiasTunableOp_float_TN,tn_1024_61_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0367551
GemmAndBiasTunableOp_float_TN,tn_240_786_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0262357
GemmAndBiasTunableOp_float_TN,tn_240_306_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.014468
GemmAndBiasTunableOp_float_TN,tn_240_372_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0158634
GemmAndBiasTunableOp_float_TN,tn_1024_223_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.122052
GemmAndBiasTunableOp_float_TN,tn_360_306_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0181766
GemmAndBiasTunableOp_float_TN,tn_360_492_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.025205
GemmAndBiasTunableOp_float_TN,tn_1024_204_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.10596
GemmAndBiasTunableOp_float_TN,tn_240_540_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0196718
GemmAndBiasTunableOp_float_TN,tn_1024_116_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0638024
GemmAndBiasTunableOp_float_TN,tn_1024_2_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.0218367
GemmAndBiasTunableOp_float_TN,tn_1024_197_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.108762
GemmAndBiasTunableOp_float_TN,tn_1024_121_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0761095
GemmAndBiasTunableOp_float_TN,tn_360_540_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0271723
GemmAndBiasTunableOp_float_TN,tn_240_336_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0147653
GemmAndBiasTunableOp_float_TN,tn_1024_30_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0267803
GemmAndBiasTunableOp_float_TN,tn_1024_143_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0763328
GemmAndBiasTunableOp_float_TN,tn_1024_19_512_ld_512_512_1024,Gemm_Hipblaslt_6376,0.0266713
GemmAndBiasTunableOp_float_TN,tn_1024_47_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0306071
GemmAndBiasTunableOp_float_TN,tn_120_462_240_ld_240_240_120,Gemm_Hipblaslt_6377,0.0186715
GemmAndBiasTunableOp_float_TN,tn_1024_209_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.114048
GemmAndBiasTunableOp_float_TN,tn_2_2_200_ld_200_200_2,Gemm_Hipblaslt_6376,0.0117838
GemmAndBiasTunableOp_float_TN,tn_360_462_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0238826
GemmAndBiasTunableOp_float_TN,tn_360_258_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0168456
GemmAndBiasTunableOp_float_TN,tn_1024_22_512_ld_512_512_1024,Gemm_Hipblaslt_6376,0.0266738
GemmAndBiasTunableOp_float_TN,tn_256_300_1024_ld_1024_1024_256,Gemm_Hipblaslt_6377,0.0814311
GemmAndBiasTunableOp_float_TN,tn_240_618_120_ld_120_120_240,Gemm_Hipblaslt_6377,0.0223015
GemmAndBiasTunableOp_float_TN,tn_1024_228_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.154004
GemmAndBiasTunableOp_float_TN,tn_512_300_4_ld_4_4_512,Gemm_Hipblaslt_6377,0.00890918
GemmAndBiasTunableOp_float_TN,tn_120_396_120_ld_120_120_120,Gemm_Hipblaslt_6377,0.0119312
GemmAndBiasTunableOp_float_TN,tn_1024_149_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0822415
GemmAndBiasTunableOp_float_TN,tn_1024_36_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.030539
GemmAndBiasTunableOp_float_TN,tn_2_6_200_ld_200_200_2,Gemm_Hipblaslt_6378,0.0119813
GemmAndBiasTunableOp_float_TN,tn_1024_6_512_ld_512_512_1024,Gemm_Hipblaslt_6378,0.021999
GemmAndBiasTunableOp_float_TN,tn_360_402_120_ld_120_120_360,Gemm_Hipblaslt_6377,0.0222045
GemmAndBiasTunableOp_float_TN,tn_1024_159_512_ld_512_512_1024,Gemm_Hipblaslt_6377,0.0818996
GemmAndBiasTunableOp_float_TN,tn_256_400_1024_ld_1024_1024_256,Gemm_Hipblaslt_6377,0.0962442
